Person Number,Element Name,Effective Start Date,Effective End Date,Input Value Name,Pension opt out date
30,Alpha Pension Scheme,01/04/2022,30/09/2022,Enrolment Date,
32,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
33,Classic Civil Servant Pension,28/06/1976,30/06/2021,Enrolment Date,
36,Classic Civil Servant Pension,28/03/1977,30/06/2021,Enrolment Date,
37,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
38,Alpha Pension Scheme,01/04/2022,31/07/2022,Enrolment Date,
40,Alpha Pension Scheme,01/04/2022,30/04/2022,Enrolment Date,
41,Classic Civil Servant Pension,30/03/1977,30/04/2021,Enrolment Date,
43,Classic Civil Servant Pension,21/03/1977,31/07/2019,Enrolment Date,
44,Classic Civil Servant Pension,28/03/1977,31/01/2019,Enrolment Date,
45,Classic Civil Servant Pension,18/04/1977,30/04/2020,Enrolment Date,
46,Classic Civil Servant Pension,21/03/1977,28/02/2019,Enrolment Date,
50,Classic Civil Servant Pension,20/06/1977,30/09/2020,Enrolment Date,
51,Classic Civil Servant Pension,11/07/1977,30/04/2020,Enrolment Date,
53,Classic Civil Servant Pension,12/09/1977,31/03/2019,Enrolment Date,
54,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
55,Alpha Pension Scheme,01/04/2022,30/06/2022,Enrolment Date,
56,Classic Plus Civil Servant Pension,10/10/1977,31/01/2020,Enrolment Date,
57,Classic Civil Servant Pension,17/10/1977,30/04/2019,Enrolment Date,
58,Classic Civil Servant Pension,19/10/1977,31/12/2018,Enrolment Date,
59,Classic Civil Servant Pension,24/10/1977,31/08/2022,Enrolment Date,
60,Classic Civil Servant Pension,07/11/1977,31/05/2020,Enrolment Date,
61,Classic Civil Servant Pension,15/08/1977,31/01/2019,Enrolment Date,
62,Classic Civil Servant Pension,31/10/1977,31/05/2021,Enrolment Date,
64,Alpha Pension Scheme,01/04/2022,31/05/2022,Enrolment Date,
65,Classic Civil Servant Pension,16/01/1978,30/11/2018,Enrolment Date,
67,Classic Civil Servant Pension,20/03/1978,31/12/2018,Enrolment Date,
68,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
69,Alpha Pension Scheme,01/04/2022,30/09/2022,Enrolment Date,
70,Premium Civil Servant Pension,07/08/1978,30/09/2020,Enrolment Date,
71,Classic Civil Servant Pension,02/01/1979,31/01/2021,Enrolment Date,
72,Classic Civil Servant Pension,24/07/1978,31/03/2021,Enrolment Date,
73,Classic Civil Servant Pension,19/06/1978,31/08/2022,Enrolment Date,
74,Alpha Pension Scheme,01/04/2022,30/04/2022,Enrolment Date,
75,Classic Civil Servant Pension,26/06/1978,31/12/2019,Enrolment Date,
76,Classic Civil Servant Pension,24/07/1978,31/05/2020,Enrolment Date,
77,Classic Civil Servant Pension,08/09/1986,30/11/2018,Enrolment Date,
78,Classic Civil Servant Pension,17/07/1978,31/01/2021,Enrolment Date,
79,Classic Plus Civil Servant Pension,28/06/1982,31/10/2022,Enrolment Date,
80,Alpha Pension Scheme,01/04/2022,30/06/2022,Enrolment Date,
81,Classic Civil Servant Pension,07/08/1978,30/06/2020,Enrolment Date,
82,Classic Civil Servant Pension,01/06/2019,31/07/2022,Enrolment Date,
83,Classic Civil Servant Pension,06/11/1978,30/11/2021,Enrolment Date,
84,Classic Civil Servant Pension,04/12/1978,31/12/2018,Enrolment Date,
85,Classic Civil Servant Pension,06/11/1978,30/11/2021,Enrolment Date,
86,Classic Civil Servant Pension,05/02/1979,31/10/2019,Enrolment Date,
87,Classic Civil Servant Pension,05/02/1979,31/05/2020,Enrolment Date,
88,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
89,Classic Civil Servant Pension,16/10/1978,30/11/2018,Enrolment Date,
90,Classic Civil Servant Pension,19/03/1979,31/07/2021,Enrolment Date,
91,Classic Civil Servant Pension,02/04/1979,31/08/2020,Enrolment Date,
92,Classic Civil Servant Pension,24/09/1979,31/01/2021,Enrolment Date,
93,Classic Civil Servant Pension,19/03/1979,31/07/2020,Enrolment Date,
94,Classic Civil Servant Pension,19/03/1979,30/06/2022,Enrolment Date,
95,Classic Civil Servant Pension,26/03/1979,31/12/2020,Enrolment Date,
96,Classic Civil Servant Pension,19/03/1979,30/09/2020,Enrolment Date,
97,Classic Civil Servant Pension,29/05/1979,31/07/2022,Enrolment Date,
98,Classic Civil Servant Pension,03/12/1979,30/11/2019,Enrolment Date,
99,Alpha Pension Scheme,01/04/2022,30/09/2022,Enrolment Date,
100,Classic Civil Servant Pension,30/07/1979,30/06/2021,Enrolment Date,
101,Alpha Pension Scheme,01/10/2019,30/04/2022,Enrolment Date,
102,Classic Civil Servant Pension,03/09/1979,31/10/2019,Enrolment Date,
104,Classic Civil Servant Pension,01/08/1979,30/04/2022,Enrolment Date,
105,Classic Civil Servant Pension,19/11/1979,28/02/2022,Enrolment Date,
106,Classic Civil Servant Pension,17/12/1979,31/03/2020,Enrolment Date,
107,Classic Civil Servant Pension,21/01/1980,31/12/2021,Enrolment Date,
108,Classic Civil Servant Pension,08/10/1979,31/05/2020,Enrolment Date,
109,Classic Civil Servant Pension,05/11/1979,31/03/2022,Enrolment Date,
110,Classic Civil Servant Pension,08/10/1979,31/08/2020,Enrolment Date,
111,Classic Civil Servant Pension,22/07/1985,31/03/2021,Enrolment Date,
112,Classic Civil Servant Pension,10/12/1979,31/10/2020,Enrolment Date,
113,Classic Civil Servant Pension,12/11/1979,30/06/2020,Enrolment Date,
114,Classic Civil Servant Pension,03/12/1979,31/07/2021,Enrolment Date,
115,Classic Civil Servant Pension,14/03/1988,31/12/2021,Enrolment Date,
116,Classic Civil Servant Pension,03/12/1979,30/06/2021,Enrolment Date,
117,Classic Civil Servant Pension,19/11/1979,31/03/2021,Enrolment Date,
118,Alpha Pension Scheme,01/04/2022,30/04/2022,Enrolment Date,
119,Classic Civil Servant Pension,10/12/1979,30/09/2020,Enrolment Date,
120,Classic Civil Servant Pension,07/01/1980,31/05/2021,Enrolment Date,
121,Classic Civil Servant Pension,04/02/1980,31/01/2019,Enrolment Date,
122,Classic Civil Servant Pension,17/03/1980,31/08/2019,Enrolment Date,
123,Classic Civil Servant Pension,11/07/1988,31/10/2020,Enrolment Date,
124,Classic Civil Servant Pension,28/04/1980,31/07/2022,Enrolment Date,
126,Classic Civil Servant Pension,17/03/1980,30/09/2022,Enrolment Date,
127,Classic Civil Servant Pension,17/03/1980,31/01/2020,Enrolment Date,
128,Classic Plus Civil Servant Pension,07/09/1981,31/03/2022,Enrolment Date,
130,Classic Civil Servant Pension,27/06/1983,30/06/2021,Enrolment Date,
131,Classic Civil Servant Pension,12/01/1981,31/03/2019,Enrolment Date,
132,Classic Civil Servant Pension,06/05/1980,31/07/2019,Enrolment Date,
133,Classic Civil Servant Pension,13/10/1980,31/05/2019,Enrolment Date,
134,Classic Civil Servant Pension,13/10/1980,31/10/2020,Enrolment Date,
135,Classic Civil Servant Pension,17/11/1980,31/12/2018,Enrolment Date,
138,Classic Civil Servant Pension,01/06/1981,31/01/2022,Enrolment Date,
140,Alpha Pension Scheme,01/04/2022,30/04/2022,Enrolment Date,
141,Premium Civil Servant Pension,02/11/1981,30/11/2018,Enrolment Date,
142,Alpha Pension Scheme,17/05/1982,31/05/2019,Enrolment Date,
143,Alpha Pension Scheme,01/08/2015,30/11/2021,Enrolment Date,
144,Alpha Pension Scheme,01/04/2016,31/10/2022,Enrolment Date,
145,Alpha Pension Scheme,01/06/2015,31/10/2022,Enrolment Date,
146,Alpha Pension Scheme,01/08/2018,30/04/2021,Enrolment Date,
147,Classic Civil Servant Pension,07/09/1981,31/07/2022,Enrolment Date,
148,Classic Civil Servant Pension,27/06/1983,31/01/2021,Enrolment Date,
149,Classic Civil Servant Pension,16/11/1981,31/08/2019,Enrolment Date,
150,Alpha Pension Scheme,01/08/2017,31/07/2022,Enrolment Date,
152,Alpha Pension Scheme,01/04/2017,31/12/2021,Enrolment Date,
153,Classic Civil Servant Pension,05/07/1982,31/05/2020,Enrolment Date,
154,Alpha Pension Scheme,01/08/2018,31/03/2022,Enrolment Date,
155,Alpha Pension Scheme,01/03/1983,31/01/2020,Enrolment Date,
156,Classic Civil Servant Pension,19/12/1983,31/12/2021,Enrolment Date,
157,Classic Civil Servant Pension,14/06/1982,31/10/2019,Enrolment Date,
158,Alpha Pension Scheme,01/12/2017,31/10/2021,Enrolment Date,
159,Classic Civil Servant Pension,20/06/1983,31/03/2021,Enrolment Date,
160,Alpha Pension Scheme,01/04/2022,30/06/2022,Enrolment Date,
161,Classic Civil Servant Pension,01/06/1982,28/02/2022,Enrolment Date,
162,Alpha Pension Scheme,01/06/2021,31/10/2022,Enrolment Date,
163,Classic Civil Servant Pension,01/06/1982,31/05/2020,Enrolment Date,
164,Alpha Pension Scheme,01/04/2022,31/08/2022,Enrolment Date,
165,Alpha Pension Scheme,01/06/2018,31/07/2021,Enrolment Date,
166,Classic Civil Servant Pension,12/07/1982,31/05/2020,Enrolment Date,
167,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
168,Alpha Pension Scheme,06/12/1982,30/11/2019,Enrolment Date,
170,Alpha Pension Scheme,28/06/1982,31/08/2019,Enrolment Date,
171,Alpha Pension Scheme,28/06/1982,31/10/2022,Enrolment Date,
172,Classic Civil Servant Pension,16/08/1982,31/03/2020,Enrolment Date,
173,Alpha Pension Scheme,03/05/1983,31/10/2022,Enrolment Date,
174,Alpha Pension Scheme,25/10/1982,30/06/2022,Enrolment Date,
175,Classic Civil Servant Pension,07/03/1983,31/10/2022,Enrolment Date,
177,Classic Civil Servant Pension,03/05/1983,30/04/2022,Enrolment Date,
178,Alpha Pension Scheme,03/05/1983,31/01/2020,Enrolment Date,
179,Classic Civil Servant Pension,04/10/1982,30/06/2019,Enrolment Date,
180,Classic Civil Servant Pension,13/06/1983,30/06/2020,Enrolment Date,
181,Classic Civil Servant Pension,03/05/1983,30/04/2019,Enrolment Date,
182,Classic Civil Servant Pension,25/10/1982,31/10/2022,Enrolment Date,
183,Alpha Pension Scheme,17/10/1983,31/10/2021,Enrolment Date,
184,Classic Civil Servant Pension,27/06/1983,30/06/2021,Enrolment Date,
185,Classic Civil Servant Pension,03/05/1983,31/10/2022,Enrolment Date,
186,Alpha Pension Scheme,13/06/1983,29/02/2020,Enrolment Date,
187,Classic Civil Servant Pension,17/10/1983,31/10/2021,Enrolment Date,
188,Classic Civil Servant Pension,25/04/1983,30/06/2020,Enrolment Date,
189,Alpha Pension Scheme,25/04/1983,31/07/2022,Enrolment Date,
190,Classic Civil Servant Pension,09/05/1983,28/02/2021,Enrolment Date,
192,Classic Civil Servant Pension,18/07/1983,30/06/2021,Enrolment Date,
193,Classic Civil Servant Pension,17/01/1983,31/10/2020,Enrolment Date,
194,Classic Civil Servant Pension,04/07/1983,30/04/2020,Enrolment Date,
195,Classic Civil Servant Pension,25/04/1983,31/10/2020,Enrolment Date,
196,Classic Civil Servant Pension,16/05/1983,31/03/2022,Enrolment Date,
197,Classic Civil Servant Pension,16/05/1983,28/02/2021,Enrolment Date,
198,Alpha Pension Scheme,28/04/1983,31/01/2020,Enrolment Date,
199,Classic Civil Servant Pension,18/04/1983,31/03/2022,Enrolment Date,
200,Alpha Pension Scheme,01/06/2016,31/10/2022,Enrolment Date,
201,Classic Civil Servant Pension,20/06/1983,31/07/2022,Enrolment Date,
202,Classic Civil Servant Pension,03/10/1983,31/01/2017,Enrolment Date,
203,Premium Civil Servant Pension,31/05/1983,28/02/2022,Enrolment Date,
204,Alpha Pension Scheme,01/04/2015,31/07/2021,Enrolment Date,
205,Alpha Pension Scheme,18/07/1983,30/06/2020,Enrolment Date,
206,Alpha Pension Scheme,01/12/2020,31/03/2022,Enrolment Date,
207,Classic Civil Servant Pension,27/06/1983,31/12/2020,Enrolment Date,
208,Classic Civil Servant Pension,09/05/1983,30/11/2020,Enrolment Date,
209,Premium Civil Servant Pension,09/01/1984,31/01/2020,Enrolment Date,
211,Classic Civil Servant Pension,14/11/1983,30/11/2021,Enrolment Date,
213,Classic Civil Servant Pension,23/05/1983,31/12/2020,Enrolment Date,
214,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
215,Classic Civil Servant Pension,24/10/1983,30/06/2021,Enrolment Date,
216,Classic Civil Servant Pension,16/05/1983,31/03/2020,Enrolment Date,
217,Classic Civil Servant Pension,05/09/1983,30/11/2018,Enrolment Date,
218,Classic Civil Servant Pension,06/06/1983,28/02/2019,Enrolment Date,
219,Alpha Pension Scheme,20/06/1983,31/07/2020,Enrolment Date,
220,Classic Civil Servant Pension,04/07/1983,30/11/2019,Enrolment Date,
222,Classic Civil Servant Pension,18/07/1983,31/05/2019,Enrolment Date,
223,Classic Civil Servant Pension,23/05/1983,31/05/2020,Enrolment Date,
224,Classic Civil Servant Pension,18/07/1983,30/04/2020,Enrolment Date,
225,Classic Civil Servant Pension,20/06/1983,31/07/2022,Enrolment Date,
226,Classic Civil Servant Pension,20/07/1983,31/08/2022,Enrolment Date,
227,Alpha Pension Scheme,18/07/1983,30/11/2018,Enrolment Date,
228,Classic Civil Servant Pension,19/09/1983,31/03/2022,Enrolment Date,
229,Premium Civil Servant Pension,15/07/2013,31/03/2022,Enrolment Date,
230,Classic Civil Servant Pension,14/10/1985,28/02/2022,Enrolment Date,
231,Classic Civil Servant Pension,05/09/1983,30/06/2022,Enrolment Date,
232,Alpha Pension Scheme,01/04/2015,31/10/2021,Enrolment Date,
233,Classic Plus Civil Servant Pension,01/11/1983,31/10/2021,Enrolment Date,
234,Classic Civil Servant Pension,03/10/1983,31/01/2022,Enrolment Date,
235,Alpha Pension Scheme,01/04/2022,31/05/2022,Enrolment Date,
236,Alpha Pension Scheme,08/05/1984,31/01/2020,Enrolment Date,
237,Alpha Pension Scheme,01/04/2015,31/07/2022,Enrolment Date,
239,Alpha Pension Scheme,26/03/1984,31/01/2020,Enrolment Date,
240,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
241,Alpha Pension Scheme,16/04/1984,31/07/2022,Enrolment Date,
242,Alpha Pension Scheme,30/06/1986,31/12/2020,Enrolment Date,
244,Alpha Pension Scheme,08/10/1984,30/06/2021,Enrolment Date,
245,Premium Civil Servant Pension,02/01/1985,31/01/2021,Enrolment Date,
246,Classic Civil Servant Pension,18/02/1987,31/05/2021,Enrolment Date,
247,Alpha Pension Scheme,06/08/1984,31/07/2021,Enrolment Date,
248,Alpha Pension Scheme,17/09/1984,31/03/2022,Enrolment Date,
249,Alpha Pension Scheme,29/10/1984,31/03/2022,Enrolment Date,
250,Alpha Pension Scheme,22/10/1984,31/01/2022,Enrolment Date,
251,Classic Civil Servant Pension,03/09/1984,30/04/2021,Enrolment Date,
252,Classic Civil Servant Pension,24/06/1985,31/03/2020,Enrolment Date,
253,Classic Civil Servant Pension,24/06/1985,30/11/2019,Enrolment Date,
254,Alpha Pension Scheme,24/09/1984,30/06/2019,Enrolment Date,
255,Alpha Pension Scheme,01/04/2022,30/06/2022,Enrolment Date,
256,Alpha Pension Scheme,05/11/1984,30/11/2018,Enrolment Date,
257,Classic Civil Servant Pension,05/11/1984,31/10/2022,Enrolment Date,
258,Alpha Pension Scheme,19/11/1984,31/01/2022,Enrolment Date,
259,Classic Civil Servant Pension,21/01/1985,31/10/2022,Enrolment Date,
260,Alpha Pension Scheme,18/02/1987,31/10/2022,Enrolment Date,
261,Alpha Pension Scheme,24/06/1985,30/06/2022,Enrolment Date,
262,Alpha Pension Scheme,28/01/1985,31/03/2022,Enrolment Date,
263,Classic Civil Servant Pension,05/11/1984,30/04/2022,Enrolment Date,
265,Alpha Pension Scheme,09/09/1985,30/06/2022,Enrolment Date,
268,Alpha Pension Scheme,07/10/1985,31/10/2021,Enrolment Date,
269,Alpha Pension Scheme,01/04/2022,31/07/2022,Enrolment Date,
270,Alpha Pension Scheme,21/10/1985,30/06/2021,Enrolment Date,
271,Classic Plus Civil Servant Pension,30/06/1986,30/11/2018,Enrolment Date,
272,Alpha Pension Scheme,21/10/1985,31/10/2022,Enrolment Date,
273,Classic Civil Servant Pension,04/11/1985,31/01/2019,Enrolment Date,
274,Alpha Pension Scheme,07/10/1985,30/09/2022,Enrolment Date,
275,Classic Civil Servant Pension,30/06/1986,30/04/2020,Enrolment Date,
276,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
277,Classic Civil Servant Pension,02/04/1987,31/01/2022,Enrolment Date,
278,Alpha Pension Scheme,15/09/1986,31/10/2021,Enrolment Date,
279,Classic Civil Servant Pension,14/04/1986,30/06/2022,Enrolment Date,
280,Classic Civil Servant Pension,27/05/1986,30/04/2022,Enrolment Date,
281,Premium Civil Servant Pension,21/04/1986,31/12/2021,Enrolment Date,
282,Alpha Pension Scheme,27/04/1987,31/05/2022,Enrolment Date,
283,Classic Civil Servant Pension,16/06/1986,31/07/2020,Enrolment Date,
284,Alpha Pension Scheme,09/06/1986,31/10/2022,Enrolment Date,
285,Alpha Pension Scheme,23/06/1986,31/10/2021,Enrolment Date,
286,Classic Civil Servant Pension,02/04/1987,31/12/2021,Enrolment Date,
287,Alpha Pension Scheme,01/04/2022,30/09/2022,Enrolment Date,
288,Alpha Pension Scheme,20/10/1986,31/10/2022,Enrolment Date,
289,Alpha Pension Scheme,20/10/1986,30/09/2022,Enrolment Date,
290,Alpha Pension Scheme,29/06/1987,30/04/2022,Enrolment Date,
291,Classic Civil Servant Pension,15/12/1986,31/10/2022,Enrolment Date,
294,Classic Civil Servant Pension,01/12/1986,30/09/2022,Enrolment Date,
296,Alpha Pension Scheme,29/06/1987,31/12/2021,Enrolment Date,
297,Classic Civil Servant Pension,06/07/1987,31/10/2020,Enrolment Date,
298,Alpha Pension Scheme,01/04/2022,31/05/2022,Enrolment Date,
299,Classic Civil Servant Pension,12/01/1987,28/02/2021,Enrolment Date,
300,Alpha Pension Scheme,27/04/1987,30/04/2019,Enrolment Date,
301,Classic Civil Servant Pension,23/02/1987,31/07/2021,Enrolment Date,
303,Alpha Pension Scheme,16/03/1987,31/10/2022,Enrolment Date,
304,Alpha Pension Scheme,06/04/1987,31/03/2019,Enrolment Date,
305,Alpha Pension Scheme,08/12/1986,31/01/2021,Enrolment Date,
306,Classic Civil Servant Pension,13/04/1987,31/03/2022,Enrolment Date,
307,Classic Civil Servant Pension,18/05/1987,31/01/2020,Enrolment Date,
308,Alpha Pension Scheme,08/06/1987,30/11/2020,Enrolment Date,
309,Alpha Pension Scheme,28/09/1987,30/06/2019,Enrolment Date,
310,Alpha Pension Scheme,05/05/1987,31/07/2021,Enrolment Date,
311,Alpha Pension Scheme,08/07/1987,29/02/2020,Enrolment Date,
312,Alpha Pension Scheme,18/05/1987,31/12/2020,Enrolment Date,
313,Classic Civil Servant Pension,06/04/1987,30/06/2019,Enrolment Date,
314,Premium Civil Servant Pension,18/05/1987,31/05/2021,Enrolment Date,
315,Alpha Pension Scheme,18/05/1987,30/09/2020,Enrolment Date,
316,Alpha Pension Scheme,13/07/1987,30/06/2020,Enrolment Date,
317,Alpha Pension Scheme,01/06/1987,31/05/2022,Enrolment Date,
318,Alpha Pension Scheme,01/09/1987,30/09/2019,Enrolment Date,
319,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
320,Alpha Pension Scheme,03/08/1987,30/09/2022,Enrolment Date,
322,Alpha Pension Scheme,02/09/1987,31/10/2022,Enrolment Date,
324,Alpha Pension Scheme,01/09/1987,30/11/2021,Enrolment Date,
325,Alpha Pension Scheme,03/08/1987,31/10/2022,Enrolment Date,
326,Classic Plus Civil Servant Pension,05/10/1987,31/01/2019,Enrolment Date,
327,Alpha Pension Scheme,01/09/1987,31/10/2022,Enrolment Date,
328,Alpha Pension Scheme,01/09/1987,30/06/2020,Enrolment Date,
329,Classic Civil Servant Pension,14/09/1987,31/10/2021,Enrolment Date,
330,Alpha Pension Scheme,05/10/1987,30/11/2021,Enrolment Date,
331,Classic Civil Servant Pension,24/08/1987,31/05/2020,Enrolment Date,
332,Alpha Pension Scheme,16/11/1987,30/09/2019,Enrolment Date,
333,Alpha Pension Scheme,01/09/1987,31/03/2022,Enrolment Date,
334,Classic Civil Servant Pension,01/09/1987,31/03/2020,Enrolment Date,
335,Classic Plus CS Added,01/09/1987,31/05/2020,Enrolment Date,
336,Classic Civil Servant Pension,21/09/1987,30/04/2022,Enrolment Date,
337,Alpha Pension Scheme,14/09/1987,31/12/2020,Enrolment Date,
338,Classic Civil Servant Pension,04/01/1988,31/08/2021,Enrolment Date,
339,Alpha Pension Scheme,03/05/1988,30/06/2020,Enrolment Date,
340,Classic Civil Servant Pension,21/09/1987,31/12/2020,Enrolment Date,
341,Alpha Pension Scheme,21/09/1987,28/02/2022,Enrolment Date,
342,Classic Civil Servant Pension,23/11/1987,31/10/2020,Enrolment Date,
343,Alpha Pension Scheme,12/10/1987,31/10/2022,Enrolment Date,
344,Classic Civil Servant Pension,11/04/1988,31/01/2022,Enrolment Date,
345,Alpha Pension Scheme,01/04/2022,31/10/2022,Enrolment Date,
346,Classic Civil Servant Pension,04/01/1988,31/08/2021,Enrolment Date,
347,Alpha Pension Scheme,25/01/1988,31/10/2022,Enrolment Date,
348,Alpha Pension Scheme,25/01/1988,31/07/2020,Enrolment Date,
349,Classic Civil Servant Pension,04/01/1988,31/03/2022,Enrolment Date,
350,Classic Civil Servant Pension,03/05/1988,30/06/2022,Enrolment Date,
351,Classic Civil Servant Pension,20/06/1988,30/06/2020,Enrolment Date,
352,Classic Civil Servant Pension,25/01/1988,31/10/2022,Enrolment Date,
353,Classic Civil Servant Pension,18/04/1988,31/01/2022,Enrolment Date,
354,Classic Civil Servant Pension,07/03/1988,31/03/2022,Enrolment Date,
355,Classic Civil Servant Pension,11/04/1988,31/01/2020,Enrolment Date,
356,Classic Civil Servant Pension,05/04/1988,29/02/2020,Enrolment Date,
357,Alpha Pension Scheme,05/04/1988,30/11/2021,Enrolment Date,
358,Alpha Pension Scheme,05/04/1988,31/03/2022,Enrolment Date,
359,Classic Civil Servant Pension,06/06/1988,28/02/2022,Enrolment Date,
360,Classic Civil Servant Pension,11/04/1988,31/07/2020,Enrolment Date,
361,Classic Civil Servant Pension,05/04/1988,30/04/2019,Enrolment Date,
362,Classic Civil Servant Pension,05/04/1988,30/04/2022,Enrolment Date,
363,Alpha Pension Scheme,06/06/1988,30/06/2020,Enrolment Date,
365,Alpha Pension Scheme,18/04/1988,31/10/2021,Enrolment Date,
366,Alpha Pension Scheme,11/04/1988,31/08/2021,Enrolment Date,
367,Classic Civil Servant Pension,03/05/1988,31/01/2022,Enrolment Date,
368,Alpha Pension Scheme,08/08/1988,30/04/2022,Enrolment Date,
369,Classic Plus Civil Servant Pension,27/06/1988,31/01/2021,Enrolment Date,
370,Alpha Pension Scheme,20/06/1988,31/07/2021,Enrolment Date,
371,Alpha Pension Scheme,13/06/1988,30/09/2021,Enrolment Date,
373,Classic Plus Civil Servant Pension,08/08/1988,30/11/2020,Enrolment Date,
374,Classic Civil Servant Pension,20/06/1988,31/01/2019,Enrolment Date,
376,Classic Civil Servant Pension,11/07/1988,30/06/2021,Enrolment Date,
377,Alpha Pension Scheme,30/01/1989,31/10/2022,Enrolment Date,
379,Classic Civil Servant Pension,10/10/1988,30/11/2018,Enrolment Date,
380,Classic Civil Servant Pension,25/07/1988,31/03/2022,Enrolment Date,
381,Alpha Pension Scheme,01/08/1988,31/01/2021,Enrolment Date,
382,Classic Plus Civil Servant Pension,01/08/1988,31/03/2022,Enrolment Date,
383,Classic Civil Servant Pension,16/07/1986,31/12/2021,Enrolment Date,
384,Classic Civil Servant Pension,02/05/1989,31/07/2019,Enrolment Date,
385,Classic Civil Servant Pension,22/08/1988,31/08/2019,Enrolment Date,
386,Alpha Pension Scheme,09/05/1988,31/03/2020,Enrolment Date,
387,Classic Civil Servant Pension,22/08/1988,31/12/2020,Enrolment Date,
389,Classic Civil Servant Pension,26/09/1988,31/08/2019,Enrolment Date,
390,Alpha Pension Scheme,15/08/1988,30/04/2021,Enrolment Date,
